"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00356","1,130","1","1",".TAU_application"
"100.0","60","1,130","1","188.005","int_main(int_char_**)"
"42.7","482","482","1","0","MPI_Init()"
"42.2","476","476","1","0","MPI_Finalize()"
"3.5","39","39","15","0","MPI_Allreduce()"
"2.7","0.966","30","49","627.074","void_CommSend(Domain"
"2.3","26","26","49","0","MPI_Waitall()"
"2.3","15","26","16","65536","void_CalcKinematicsForElems(Domain"
"1.0","11","11","69632","0","Real_t_CalcElemVolume(const"
"0.8","9","9","529.074","0","MPI_Wait()"
"0.4","0.521","4","16","159.704","void_CommSyncPosVel(Domain"
"0.3","0.23","3","16","96","void_CommMonoQ(Domain"
"0.3","3","3","529.074","0","MPI_Isend()"
"0.2","0.303","2","17","322.37","void_CommSBN(Domain"
"0.2","1","2","1","4102","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.1","0.901","0.901","1","0","MPI_Barrier()"
"0.0","0.405","0.405","1","0","MPI_Reduce()"
"0.0","0.11","0.363","49","578.074","void_CommRecv(Domain"
"0.0","0.243","0.243","529.074","0","MPI_Irecv()"
"0.0","0.113","0.113","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.0579","0.0584","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","0.0356","0.0356","149","0","MPI_Comm_rank()"
"0.0","0.0343","0.0343","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","0.0257","0.0257","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","0.0107","0.0107","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.0075","0.0075","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.0015","0.0033","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00179","0.00179","2","0","StrToInt"
"0.0","0.00166","0.00166","1","0","void_Domain::~Domain()"
"0.0","0.000977","0.000977","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.000431","0.000431","1","0","MPI_Comm_size()"
"0.0","0.000352","0.000352","0.00462963","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
