"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00363","30:31.013","1","1",".TAU_application"
"100.0","22:14.358","30:31.013","1","716.125","int_main(int_char_**)"
"21.8","4:02.124","6:39.014","64","1.07374E+09","void_CalcKinematicsForElems(Domain"
"8.7","2:39.333","2:39.333","1.09052E+09","0","Real_t_CalcElemVolume(const"
"4.1","1:15.392","1:15.392","63","0","MPI_Allreduce()"
"0.4","7,847","7,847","1","0","MPI_Finalize()"
"0.4","3,657","6,669","1","1.67772E+07","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.3","886","5,404","193","1257","void_CommSend(Domain"
"0.2","4,508","4,508","193","0","MPI_Waitall()"
"0.1","1,253","1,363","64","288","void_CommSyncPosVel(Domain"
"0.0","354","429","65","520","void_CommSBN(Domain"
"0.0","381","381","1","0","MPI_Init()"
"0.0","268","268","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","185","185","871","0","MPI_Wait()"
"0.0","146","146","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","144","144","64","256","void_CommMonoQ(Domain"
"0.0","122","122","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","24","24","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","9","9","871","0","MPI_Isend()"
"0.0","6","6","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.817","2","193","1064","void_CommRecv(Domain"
"0.0","1","1","871","0","MPI_Irecv()"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","1","1","1","0","void_Domain::~Domain()"
"0.0","0.627","0.627","581","0","MPI_Comm_rank()"
"0.0","0.367","0.367","0.125","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.145","0.145","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.0793","0.0793","1","0","MPI_Reduce()"
"0.0","0.009","0.009","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00237","0.00387","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.0015","0.0015","2","0","StrToInt"
"0.0","0.000375","0.000375","1","0","MPI_Comm_size()"
