%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00653,1:40.600,1,1,100600870,.TAU_application
100.0,18,1:40.600,1,781.031,100600864,CG
84.0,1:15.633,1:24.500,76,59280,1111845,CONJ_GRAD
14.9,451,15,018,1,1.5E+06,15018774,MAKEA
13.8,6,839,13,857,750000,5.66392E+07,18,SPRNVC
4.8,4,861,4,861,19988,0,243,MPI_Send()
4.7,4,687,4,687,3.77595E+07,0,0,RANDLC
3.9,3,928,3,928,19988,0,197,MPI_Wait()
2.3,2,330,2,330,1.88797E+07,0,0,ICNVRT
0.7,735,735,1,0,735410,MPI_Finalize()
0.6,602,602,1,0,602872,SPARSE
0.3,0.0391,320,1,3.03125,320533,INITIALIZE_MPI
0.3,319,319,1,0,319623,MPI_Init()
0.1,107,107,750000,0,0,VECSET
0.1,77,77,19988,0,4,MPI_Irecv()
0.0,5,5,1,0,5617,ALLOC_SPACE
0.0,0.829,0.829,1,0,829,MPI_Bcast()
0.0,0.218,0.218,1,0,218,MPI_Barrier()
0.0,0.0611,0.0611,1,0,61,MPI_Reduce()
0.0,0.0248,0.0253,1,2,25,GET_ACTIVE_NPROCS
0.0,0.0159,0.0159,0.03125,0,509,CHECK_TIMER_FLAG
0.0,0.0102,0.0102,1,0,10,TIMER_START
0.0,0.00375,0.00375,0.03125,0,120,PRINT_RESULTS
0.0,0.00159,0.00159,9,0,0,TIMER_CLEAR
0.0,0.000969,0.000969,1,0,1,TIMER_STOP
0.0,0.000719,0.000719,1,0,1,SETUP_SUBMATRIX_INFO
0.0,0.000344,0.000344,1,0,0,MPI_Comm_size()
0.0,0.000281,0.000281,1,0,0,SETUP_PROC_INFO
0.0,0.000156,0.000156,1,0,0,TIMER_READ
0.0,0.000125,0.000125,1,0,0,MPI_Comm_rank()
