"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00371","9,704","1","1",".TAU_application"
"100.0","4,635","9,704","1","188.008","int_main(int_char_**)"
"15.6","893","1,516","16","4.1943E+06","void_CalcKinematicsForElems(Domain"
"10.3","1,000","1,000","1","0","MPI_Finalize()"
"8.4","818","818","15","0","MPI_Allreduce()"
"8.2","24","793","49","589.2","void_CommSend(Domain"
"7.4","716","716","49","0","MPI_Waitall()"
"6.9","665","665","4.45645E+06","0","Real_t_CalcElemVolume(const"
"4.4","422","422","1","0","MPI_Init()"
"3.2","310","310","491.2","0","MPI_Wait()"
"1.8","32","172","16","148.608","void_CommSyncPosVel(Domain"
"1.7","7","167","17","298.792","void_CommSBN(Domain"
"1.5","92","147","1","262150","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.5","52","52","491.2","0","MPI_Isend()"
"0.2","5","17","16","92.8","void_CommMonoQ(Domain"
"0.1","8","8","1","0","MPI_Reduce()"
"0.0","4","4","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","3","3","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","2","2","1","0","MPI_Barrier()"
"0.0","2","2","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","1","1","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.94","0.94","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.184","0.933","49","540.2","void_CommRecv(Domain"
"0.0","0.716","0.716","491.2","0","MPI_Irecv()"
"0.0","0.291","0.291","1","0","void_Domain::~Domain()"
"0.0","0.112","0.112","149","0","MPI_Comm_rank()"
"0.0","0.0109","0.0109","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00926","0.00926","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.0019","0.00382","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00192","0.00192","2","0","StrToInt"
"0.0","0.000728","0.000728","0.008","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.000432","0.000432","1","0","MPI_Comm_size()"
