Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00345,25,327,1,1,25327827
int_main(int_char_**),100.0,13,787,25,327,1,1420.02,25327824
void_CalcKinematicsForElems(Domain,20.0,2,979,5,066,128,1.41558E+07,39579
MPI_Allreduce(),10.1,2,562,2,562,127,0,20178
Real_t_CalcElemVolume(const,8.3,2,107,2,107,1.42664E+07,0,0
void_CommSend(Domain,7.8,104,1,978,385,4168.62,5138
MPI_Waitall(),7.2,1,833,1,833,385,0,4762
MPI_Wait(),2.9,726,726,3398.62,0,214
MPI_Finalize(),2.2,556,556,1,0,556568
void_CommSyncPosVel(Domain,2.0,105,498,128,1064,3894
MPI_Init(),1.7,417,417,1,0,417947
void_CommSBN(Domain,1.3,30,327,129,2015.62,2543
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.3,40,65,1,110598,65843
void_CommMonoQ(Domain,0.2,21,57,128,704,447
MPI_Isend(),0.2,39,39,3398.62,0,12
void_CommRecv(Domain,0.0,1,5,385,3783.62,14
MPI_Irecv(),0.0,3,3,3398.62,0,1
MPI_Reduce(),0.0,3,3,1,0,3129
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,1,1,1,0,1795
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,1,1,1,1,1362
void_Domain::SetupElementConnectivities(Int_t),0.0,0.862,0.862,1,0,862
MPI_Barrier(),0.0,0.768,0.768,1,0,768
MPI_Comm_rank(),0.0,0.757,0.757,1157,0,1
void_Domain::SetupCommBuffers(Int_t),0.0,0.738,0.738,1,0,738
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.233,0.233,1,0,233
void_Domain::~Domain(),0.0,0.149,0.149,1,0,149
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.0106,0.0106,1,0,11
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.0037,0.00552,1,2,6
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00523,0.00523,1,0,5
StrToInt,0.0,0.00181,0.00181,2,0,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.00148,0.00148,0.015625,0,95
MPI_Comm_size(),0.0,0.000547,0.000547,1,0,1
