"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0075","1:12.179","1","1",".TAU_application"
"100.0","12","1:12.179","1","145.5","CG"
"78.9","56,360","56,931","31","9672","CONJ_GRAD"
"15.3","11,056","11,056","1","0","MPI_Finalize()"
"5.3","262","3,851","1","300001","MAKEA"
"3.6","1,275","2,633","150000","1.10225E+07","SPRNVC"
"1.3","934","934","1","0","SPARSE"
"1.3","907","907","7.34836E+06","0","RANDLC"
"0.7","484","484","3255","0","MPI_Send()"
"0.6","450","450","3.67418E+06","0","ICNVRT"
"0.4","0.044","324","1","3.5","INITIALIZE_MPI"
"0.4","324","324","1","0","MPI_Init()"
"0.1","82","82","3255","0","MPI_Wait()"
"0.0","21","21","150000","0","VECSET"
"0.0","3","3","3255","0","MPI_Irecv()"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.306","0.306","1","0","MPI_Bcast()"
"0.0","0.249","0.249","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.0835","0.0835","0.5","0","PRINT_RESULTS"
"0.0","0.0315","0.0315","1","0","TIMER_START"
"0.0","0.025","0.0255","1","2","GET_ACTIVE_NPROCS"
"0.0","0.012","0.012","1","0","MPI_Reduce()"
"0.0","0.009","0.009","1","0","MPI_Barrier()"
"0.0","0.002","0.002","9","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","MPI_Comm_size()"
"0.0","0.0005","0.0005","1","0","TIMER_READ"
"0.0","0","0","1","0","MPI_Comm_rank()"
"0.0","0","0","1","0","SETUP_PROC_INFO"
"0.0","0","0","1","0","SETUP_SUBMATRIX_INFO"
