"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","2:31.637","1","1",".TAU_application"
"100.0","19","2:31.637","1","325.5","CG"
"89.3","2:14.014","2:15.386","76","23712","CONJ_GRAD"
"8.1","12,253","12,253","1","0","MPI_Finalize()"
"2.4","207","3,654","1","300001","MAKEA"
"1.7","1,199","2,567","150000","1.10225E+07","SPRNVC"
"0.8","1,252","1,252","7980","0","MPI_Send()"
"0.6","914","914","7.34836E+06","0","RANDLC"
"0.6","859","859","1","0","SPARSE"
"0.3","453","453","3.67418E+06","0","ICNVRT"
"0.2","0.0345","320","1","3.5","INITIALIZE_MPI"
"0.2","319","319","1","0","MPI_Init()"
"0.1","111","111","7980","0","MPI_Wait()"
"0.0","20","20","150000","0","VECSET"
"0.0","8","8","7980","0","MPI_Irecv()"
"0.0","2","2","1","0","ALLOC_SPACE"
"0.0","0.283","0.283","1","0","MPI_Bcast()"
"0.0","0.227","0.227","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.059","0.059","0.5","0","PRINT_RESULTS"
"0.0","0.024","0.024","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0125","0.0125","1","0","MPI_Reduce()"
"0.0","0.011","0.011","1","0","TIMER_START"
"0.0","0.009","0.009","1","0","MPI_Barrier()"
"0.0","0.001","0.001","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.001","0.001","9","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","SETUP_PROC_INFO"
"0.0","0","0","1","0","MPI_Comm_rank()"
"0.0","0","0","1","0","MPI_Comm_size()"
"0.0","0","0","1","0","TIMER_READ"
