"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00325","9,941","1","1",".TAU_application"
"100.0","3,107","9,941","1","364.125","int_main(int_char_**)"
"48.0","4,768","4,768","1","0","MPI_Finalize()"
"12.7","746","1,265","32","3.53894E+06","void_CalcKinematicsForElems(Domain"
"5.4","535","535","3.64954E+06","0","Real_t_CalcElemVolume(const"
"3.7","366","366","1","0","MPI_Init()"
"2.4","235","235","31","0","MPI_Allreduce()"
"1.0","15","97","97","633","void_CommSend(Domain"
"0.8","80","80","97","0","MPI_Waitall()"
"0.6","34","55","1","110598","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.2","24","24","439","0","MPI_Wait()"
"0.2","2","22","33","264","void_CommSBN(Domain"
"0.2","13","18","32","144","void_CommSyncPosVel(Domain"
"0.0","3","3","32","128","void_CommMonoQ(Domain"
"0.0","1","1","439","0","MPI_Isend()"
"0.0","1","1","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","1","1","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","0.795","0.795","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","0.21","0.734","97","536","void_CommRecv(Domain"
"0.0","0.477","0.477","439","0","MPI_Irecv()"
"0.0","0.461","0.461","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.16","0.16","293","0","MPI_Comm_rank()"
"0.0","0.146","0.146","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.0581","0.0581","1","0","MPI_Barrier()"
"0.0","0.0214","0.0214","1","0","MPI_Reduce()"
"0.0","0.0112","0.0112","0.125","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.0105","0.0105","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00662","0.00662","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.0015","0.00363","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.003","0.003","1","0","void_Domain::~Domain()"
"0.0","0.00213","0.00213","2","0","StrToInt"
"0.0","0.000375","0.000375","1","0","MPI_Comm_size()"
