%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00605,53,355,1,1,53355380,.TAU_application
100.0,34,53,355,1,1334,53355374,CG
61.9,17,225,33,023,101,102414,326968,CONJ_GRAD
36.1,460,19,248,1,3E+06,19248253,MAKEA
34.7,9,104,18,513,1.5E+06,7.55104E+07,12,SPRNVC
14.8,7,889,7,889,34542,0,228,MPI_Wait()
14.4,7,695,7,695,34542,0,223,MPI_Send()
11.8,6,283,6,283,5.03402E+07,0,0,RANDLC
5.9,3,124,3,124,2.51701E+07,0,0,ICNVRT
1.0,0.035,532,1,3.00391,532407,INITIALIZE_MPI
1.0,531,531,1,0,531365,MPI_Init()
0.9,502,502,1,0,502520,MPI_Finalize()
0.4,220,220,34542,0,6,MPI_Irecv()
0.4,208,208,1.5E+06,0,0,VECSET
0.1,66,66,1,0,66455,SPARSE
0.0,4,4,1,0,4804,ALLOC_SPACE
0.0,1,1,1,0,1150,MPI_Barrier()
0.0,0.975,0.975,1,0,975,MPI_Bcast()
0.0,0.0814,0.0814,1,0,81,MPI_Reduce()
0.0,0.0285,0.029,1,2,29,GET_ACTIVE_NPROCS
0.0,0.019,0.019,1,0,19,TIMER_START
0.0,0.00207,0.00207,0.00390625,0,531,CHECK_TIMER_FLAG
0.0,0.00157,0.00157,9,0,0,TIMER_CLEAR
0.0,0.000875,0.000875,1,0,1,TIMER_STOP
0.0,0.000703,0.000703,1,0,1,SETUP_SUBMATRIX_INFO
0.0,0.000559,0.000559,0.00390625,0,143,PRINT_RESULTS
0.0,0.000328,0.000328,1,0,0,MPI_Comm_size()
0.0,0.000277,0.000277,1,0,0,SETUP_PROC_INFO
0.0,0.000223,0.000223,1,0,0,MPI_Comm_rank()
0.0,0.000145,0.000145,1,0,0,TIMER_READ
