"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0035","15:21.616","1","1",".TAU_application"
"100.0","11:07.140","15:21.616","1","364.125","int_main(int_char_**)"
"21.6","2:01.064","3:19.509","32","5.36871E+08","void_CalcKinematicsForElems(Domain"
"8.8","1:20.889","1:20.889","5.53648E+08","0","Real_t_CalcElemVolume(const"
"4.0","36,980","36,980","31","0","MPI_Allreduce()"
"0.8","7,270","7,270","1","0","MPI_Finalize()"
"0.7","3,655","6,666","1","1.67772E+07","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.3","440","2,701","97","633","void_CommSend(Domain"
"0.2","2,255","2,255","97","0","MPI_Waitall()"
"0.1","627","676","32","144","void_CommSyncPosVel(Domain"
"0.0","382","382","1","0","MPI_Init()"
"0.0","267","267","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","177","213","33","264","void_CommSBN(Domain"
"0.0","146","146","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","121","121","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","84","84","439","0","MPI_Wait()"
"0.0","71","71","32","128","void_CommMonoQ(Domain"
"0.0","24","24","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","6","6","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","4","4","439","0","MPI_Isend()"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","0.417","1","97","536","void_CommRecv(Domain"
"0.0","1","1","1","0","void_Domain::~Domain()"
"0.0","0.888","0.888","439","0","MPI_Irecv()"
"0.0","0.318","0.318","293","0","MPI_Comm_rank()"
"0.0","0.149","0.149","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.0756","0.0756","1","0","MPI_Reduce()"
"0.0","0.0374","0.0374","0.125","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.0127","0.0127","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00225","0.00413","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00187","0.00187","2","0","StrToInt"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
