"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00337","6,428","1","1",".TAU_application"
"100.0","775","6,428","1","100.125","int_main(int_char_**)"
"74.5","4,788","4,788","1","0","MPI_Finalize()"
"6.5","418","418","1","0","MPI_Init()"
"4.9","187","317","8","884736","void_CalcKinematicsForElems(Domain"
"2.3","145","145","995328","0","Real_t_CalcElemVolume(const"
"0.8","32","52","1","110598","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.7","47","47","7","0","MPI_Allreduce()"
"0.3","3","19","25","165","void_CommSend(Domain"
"0.2","15","15","25","0","MPI_Waitall()"
"0.1","3","4","8","36","void_CommSyncPosVel(Domain"
"0.1","3","3","115","0","MPI_Wait()"
"0.0","0.628","2","9","72","void_CommSBN(Domain"
"0.0","1","1","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","1","1","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","0.956","0.965","8","32","void_CommMonoQ(Domain"
"0.0","0.86","0.86","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","0.517","0.517","115","0","MPI_Isend()"
"0.0","0.414","0.414","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.0549","0.249","25","140","void_CommRecv(Domain"
"0.0","0.182","0.182","115","0","MPI_Irecv()"
"0.0","0.155","0.155","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.0414","0.0414","77","0","MPI_Comm_rank()"
"0.0","0.0255","0.0255","1","0","MPI_Reduce()"
"0.0","0.0208","0.0208","1","0","MPI_Barrier()"
"0.0","0.0147","0.0147","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.0106","0.0106","0.125","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.00762","0.00762","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.00213","0.00425","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00263","0.00263","1","0","void_Domain::~Domain()"
"0.0","0.00213","0.00213","2","0","StrToInt"
"0.0","0.00075","0.00075","1","0","MPI_Comm_size()"
