"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00343","16,082","1","1",".TAU_application"
"100.0","6,789","16,082","1","716.003","int_main(int_char_**)"
"19.5","3,140","3,140","63","0","MPI_Allreduce()"
"15.7","1,483","2,530","64","7.07789E+06","void_CalcKinematicsForElems(Domain"
"10.9","57","1,757","193","2557.86","void_CommSend(Domain"
"10.4","1,666","1,666","193","0","MPI_Waitall()"
"6.6","1,067","1,067","7.18848E+06","0","Real_t_CalcElemVolume(const"
"4.6","734","734","2171.86","0","MPI_Wait()"
"3.3","526","526","1","0","MPI_Init()"
"3.1","62","501","64","671.907","void_CommSyncPosVel(Domain"
"2.7","435","435","1","0","MPI_Finalize()"
"1.6","15","253","65","1299.81","void_CommSBN(Domain"
"0.4","11","69","64","393.143","void_CommMonoQ(Domain"
"0.4","42","68","1","110598","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.2","32","32","2171.86","0","MPI_Isend()"
"0.0","4","4","1","0","MPI_Reduce()"
"0.0","0.679","3","193","2364.86","void_CommRecv(Domain"
"0.0","2","2","2171.86","0","MPI_Irecv()"
"0.0","1","1","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","1","1","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","0.912","0.912","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","0.849","0.849","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.366","0.366","581","0","MPI_Comm_rank()"
"0.0","0.279","0.279","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.168","0.168","1","0","void_Domain::~Domain()"
"0.0","0.011","0.011","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00535","0.00535","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.00159","0.00342","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00183","0.00183","2","0","StrToInt"
"0.0","0.000461","0.000461","1","0","MPI_Comm_size()"
"0.0","0.000341","0.000341","0.00291545","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
