"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0036","4,970","1","1",".TAU_application"
"100.0","1,718","4,970","1","188.008","int_main(int_char_**)"
"15.1","752","752","1","0","MPI_Finalize()"
"13.1","651","651","15","0","MPI_Allreduce()"
"12.9","377","640","16","1.76947E+06","void_CalcKinematicsForElems(Domain"
"9.8","484","484","1","0","MPI_Init()"
"9.2","13","456","49","589.2","void_CommSend(Domain"
"8.4","418","418","49","0","MPI_Waitall()"
"5.7","284","284","1.88006E+06","0","Real_t_CalcElemVolume(const"
"3.4","169","169","491.2","0","MPI_Wait()"
"2.3","15","114","16","148.608","void_CommSyncPosVel(Domain"
"1.4","42","68","1","110598","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"1.2","3","61","17","298.792","void_CommSBN(Domain"
"0.5","24","24","491.2","0","MPI_Isend()"
"0.3","2","15","16","92.8","void_CommMonoQ(Domain"
"0.1","3","3","1","0","MPI_Reduce()"
"0.0","1","1","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","1","1","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","0.913","0.913","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","0.791","0.791","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.166","0.783","49","540.2","void_CommRecv(Domain"
"0.0","0.591","0.591","491.2","0","MPI_Irecv()"
"0.0","0.258","0.258","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.16","0.16","1","0","void_Domain::~Domain()"
"0.0","0.0919","0.0919","149","0","MPI_Comm_rank()"
"0.0","0.0106","0.0106","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00552","0.00552","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.00178","0.00358","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00181","0.00181","2","0","StrToInt"
"0.0","0.00076","0.00076","0.008","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.0004","0.0004","1","0","MPI_Comm_size()"
