"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00673","1,191","1","1",".TAU_application"
"100.0","0.183","1,191","1","150.047","MG_MPI"
"63.4","755","755","1","0","MPI_Finalize()"
"33.4","398","398","1","0","MPI_Init()"
"2.5","0.445","30","51","1326","MG3P"
"2.2","2","26","871","14160.8","COMM3"
"1.3","15","15","4843.5","0","MPI_Wait()"
"1.3","2","15","4690.5","4690.5","TAKE3"
"1.1","1","12","308","308","RESID"
"0.8","1","9","306","306","PSINV"
"0.6","0.426","6","255","255","RPRJ3"
"0.4","2","5","4690.5","4690.5","GIVE3"
"0.3","2","3","4843.5","4843.5","READY"
"0.3","0.537","3","255","255","INTERP"
"0.3","3","3","4843.5","0","MPI_Send()"
"0.3","0.118","3","255","459","COMM3_EX"
"0.2","0.0611","2","153","153","TAKE3_EX"
"0.2","0.249","2","2","1425.66","ZRAN3"
"0.1","1","1","4843.5","0","MPI_Irecv()"
"0.1","1","1","88","0","MPI_Allreduce()"
"0.1","0.866","0.866","6","0","MPI_Barrier()"
"0.1","0.858","0.858","7","0","MPI_Bcast()"
"0.0","0.223","0.223","348.25","0","ZERO3"
"0.0","0.0293","0.2","4","8","NORM2U3"
"0.0","0.0597","0.141","153","153","GIVE3_EX"
"0.0","0.096","0.096","627.406","0","RANDLC"
"0.0","0.0932","0.0932","512","0","VRANLC"
"0.0","0.0491","0.0491","273.656","0","BUBBLE"
"0.0","0.0441","0.0441","2","0","TIMER_START"
"0.0","0.0155","0.0279","6","81.4062","POWER"
"0.0","0.026","0.0266","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0199","0.0199","1","0","ALLOC_SPACE"
"0.0","0.0111","0.0111","1","0","MPI_Reduce()"
"0.0","0.00983","0.00983","2","0","SETUP"
"0.0","0.00784","0.00784","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00305","0.00305","17","0","TIMER_CLEAR"
"0.0","0.00227","0.00227","0.015625","0","PRINT_RESULTS"
"0.0","0.00106","0.00106","2","0","TIMER_STOP"
"0.0","0.000391","0.000391","1","0","MPI_Comm_size()"
"0.0","0.000219","0.000219","1","0","MPI_Comm_rank()"
"0.0","0.000141","0.000141","1.01562","0","TIMER_READ"
